draw,silhouette,k_selected,ortho_silhouette,sep_sil
372,0.2206005156,6,0.1994899660,-0.0040819300
373,0.1272484213,5,0.1521936357,-0.0068294848
374,0.1539489478,4,0.1584851891,-0.0042618103
375,0.1482924670,4,0.1620960087,0.0109380297
376,0.1628328413,4,0.1788061112,0.0039864872
377,0.1680682749,3,0.1914362609,-0.0091823600
378,0.1466883421,4,0.1646328717,0.0087842094
379,0.1818479300,4,0.2449590862,-0.0056639817
380,0.2298755497,5,0.2543371320,-0.0002773454
381,0.2170232832,4,0.2177291960,-0.0101094712
382,0.2841166258,3,0.3307946026,0.0023299621
383,0.1548208743,2,0.1741572917,-0.0042871069
384,0.1355800927,4,0.1417691708,-0.0016339024
385,0.2206333876,4,0.2204175442,-0.0134665566
386,0.1611420512,5,0.1768000126,0.0037884666
387,0.2000259459,5,0.2068197578,0.0063093030
388,0.1692883670,4,0.1978464127,-0.0022889776
389,0.2785045505,5,0.2785423696,0.0093063982
390,0.1503350735,4,0.1566619277,0.0018112872
391,0.1420203447,4,0.1680881083,-0.0095682861
392,0.1459450424,4,0.1743443310,-0.0028159565
393,0.1213012785,2,0.1366236955,0.0017992423
394,0.2292823642,5,0.2529824376,-0.0090291761
395,0.1995846927,5,0.2546147704,-0.0134345936
396,0.1807355881,5,0.1968909949,-0.0039740927
397,0.1479088217,4,0.1479771435,-0.0093546016
398,0.1270497143,3,0.1482596546,-0.0119883465
399,0.1812278479,5,0.2347544283,0.0043072854
400,0.1876011491,4,0.2075835913,-0.0004689743
401,0.1351473033,2,0.1484715641,-0.0073313871
402,0.1363609433,4,0.1662619561,-0.0013347040
403,0.2051048428,4,0.2798881531,0.0196488742
404,0.2001672238,4,0.2447919101,0.0052528656
405,0.1798247546,4,0.1942759901,-0.0017018163
406,0.1984086931,4,0.2250853330,-0.0030743664
407,0.1583075076,4,0.2005932331,0.0076905470
408,0.1851793528,4,0.2176057845,-0.0101172579
409,0.1432265341,4,0.1568357199,0.0043748245
410,0.1809569150,4,0.2273979783,0.0031066416
411,0.1760885566,5,0.1887006015,0.0164310466
412,0.1582486629,4,0.1608579457,-0.0037891525
413,0.1443226784,2,0.1612049490,-0.0021885559
414,0.1462282091,5,0.1291272938,-0.0048888805
415,0.1151115820,4,0.1352447271,-0.0005473908
416,0.1885614991,4,0.2029675990,-0.0080051143
417,0.2138947248,4,0.2653784454,-0.0038563882
418,0.1286904216,4,0.1269650012,-0.0050943634
419,0.1686785966,4,0.1848144978,0.0039393771
420,0.2090563476,5,0.2357528955,0.0043053958
421,0.2016921490,5,0.2533566654,-0.0021197691
422,0.1319151074,5,0.1410646588,-0.0032315820
423,0.1501252055,4,0.1600805968,0.0048968028
424,0.2003913373,5,0.2027359754,0.0047083795
425,0.1796072572,5,0.2068433315,-0.0055286814
426,0.2027066499,4,0.1957787275,-0.0007615385
427,0.3015210629,4,0.3032505512,-0.0009491812
428,0.1433684230,4,0.1626452208,0.0006791442
429,0.1576456577,3,0.1610194743,-0.0061897878
430,0.1647290289,4,0.1976924539,0.0054822792
431,0.1923163682,3,0.2317899764,0.0001964618
432,0.1394287348,4,0.1523564756,0.0065253023
433,0.1778524816,6,0.1791015118,-0.0097002294
434,0.1540869176,5,0.1510411203,-0.0043569030
435,0.1506042331,5,0.1870891303,0.0015614596
436,0.1600577235,2,0.1721004397,-0.0037121652
437,0.3328443766,3,0.3853554130,-0.0004835328
438,0.1590117812,4,0.1749846488,-0.0109587060
439,0.2436918914,6,0.2626015842,-0.0022533862
440,0.1766328067,5,0.1517751068,-0.0089352038
441,0.1669558585,4,0.1907367110,-0.0058372058
442,0.1499591321,4,0.2162857503,-0.0082853157
443,0.1425725222,3,0.1574326754,-0.0050664162
444,0.1590595692,5,0.1685616225,-0.0015814890
445,0.2378621399,5,0.2387621403,0.0006701797
446,0.2391813546,5,0.2768602669,-0.0124958325
447,0.1823117882,4,0.2357428372,-0.0123958560
448,0.1535298675,4,0.1891760975,-0.0026756206
449,0.3004024029,3,0.3246817887,-0.0026917995
450,0.2510350943,5,0.2877030969,-0.0042623379
451,0.2080729753,5,0.2531847060,-0.0124453921
452,0.1326374859,4,0.1505987495,-0.0091048935
453,0.1500561386,4,0.1623473763,0.0046451571
454,0.2213687450,5,0.2263952345,0.0067592324
455,0.2126492262,4,0.2550358772,0.0220768414
456,0.1602240950,5,0.1693609953,0.0003972368
457,0.2148108184,4,0.3205651939,0.0189882126
458,0.1699220985,5,0.1655358821,-0.0035349759
459,0.1599513292,4,0.1843228638,0.0034098208
460,0.2670418322,5,0.2791946530,0.0079285251
461,0.2114648968,5,0.2543888986,0.0023042001
462,0.1669408381,4,0.2210101485,-0.0093780691
